Accession	Length	MW
CONT_001|Trypa1|PromTArt1	8	872.0
CONT_002|Trypa2|PromTArt2	8	900.0
CONT_003|Trypa3|PromTArt3	8	825.0
CONT_004|Trypa4|PromTArt4	10	1072.3
CONT_005|Trypa5|PromTArt5	50	5561.1
CONT_006|Trypa6|TrypArt6	12	1263.5
CONT_007|Michrom1|Michrom1	7	884.1
CONT_008|gi|113876|sp|P01017|ANGT_BOVIN	10	1283.5
CONT_009|gi|229232|prf||670366A	10	1297.5
CONT_010|gi|136429|sp|P00761|TRYP_PIG	231	24410.2
CONT_011|gi|136425|sp|P00760|TRYP_BOVIN	229	23993.7
CONT_012|owl|P00766|CTRA_BOVIN	245	25666.8
CONT_013|owl|P00767|CTRB_BOVIN	245	25756.1
CONT_014|gi|114054|sp|P15636|API_ACHLY	653	68125.4
CONT_015|gi|229552|prf||754920A	581	65797.6
CONT_016|gi|113574|sp|P02769|ALBU_BOVIN	607	69270.7
CONT_017|gi|113576|sp|P02768|ALBU_HUMAN	609	69367.0
CONT_018|gi|113580|sp|P02770|ALBU_RAT	608	68719.0
CONT_019|CAS1_BOVIN	214	24529.6
CONT_020|CAS2_BOVIN	222	26019.4
CONT_021|CASB_BOVIN	224	25108.0
CONT_022|CASK_BOVIN	190	21270.1
CONT_023|S23202	53	5997.6
CONT_024|gi|545865|bbs|145170	24	2941.3
CONT_025|gi|346581|pir||S29094	503	55342.8
CONT_026|gi|89881|pir||A23262	48	5217.7
CONT_027|gi|2136852|pir||I47083	98	10606.3
CONT_028|gi|2136853|pir||I47084	74	8097.2
CONT_029|gi|2136854|pir||I47086	98	10516.2
CONT_030|gi|547810|sp|Q02958|KRHA_SHEEP	83	8428.1
CONT_031|gi|2136905|pir||I47089	73	8250.4
CONT_032|gi|2136877|pir||I46412	191	17069.0
CONT_033|gi|2136878|pir||I46413	197	17475.2
CONT_034|gi|2136865|pir||S60314	151	16155.0
CONT_035|gi|125623|sp|P02438|KR2A_SHEEP	172	17735.3
CONT_036|gi|125626|sp|P08131|KR2D_SHEEP	182	18811.5
CONT_037|gi|125625|sp|P02440|KR2C_SHEEP	152	15607.8
CONT_038|gi|89878|pir||S00071	85	9079.0
CONT_039|gi|1085464|pir||S00031	62	6731.4
CONT_040|gi|125682|sp|P26372|KRUC_SHEEP	182	16101.8
CONT_041|gi|109048|pir||S22025	508	55246.1
CONT_042|gi|2119229|pir||I46410	70	8030.9
CONT_043|gi|2119227|pir||I46411	153	15705.8
CONT_044|gi|1083132|pir||A56694	480	53034.0
CONT_045|gi|106849|pir||PC1102	384	39742.4
CONT_046|gi|88041|pir||A31994	561	57247.8
CONT_047|gi|88042|pir||S14666	453	48204.8
CONT_048|gi|553163	231	26183.2
CONT_049|gi|88052|pir||A32568	589	62034.2
CONT_050|gi|280816|pir||A37343	420	45865.8
CONT_051|gi|105814|pir||A35852	74	8442.5
CONT_052|gi|125681|sp|P26371|KRUC_HUMAN	169	16277.1
CONT_053|gi|106253|pir||S18946	169	16217.1
CONT_054|gi|481024|pir||S37649	175	18218.8
CONT_055|gi|481025|pir||S37650	177	18235.7
CONT_056|gi|284277|pir||A43342	43	4809.5
CONT_057|gi|244507|bbs|79433	117	9519.2
CONT_058|gi|284279|pir||B38182	128	10243.8
CONT_059|gi|244509|bbs|79427	142	11331.8
CONT_060|gi|542923|pir||S37780	424	48572.2
CONT_061|gi|34077	124	12793.1
CONT_062|gi|346219|pir||S31662	151	14421.0
CONT_063|gi|2135529|pir||I58080	15	1723.0
CONT_064|gi|254622|bbs|112352	645	65911.6
CONT_065|gi|399678|bbs|134862	19	2190.6
CONT_066|gi|386644|bbs|134977	404	45935.9
CONT_067|gi|461090|bbs|141494	21	2280.4
CONT_068|gi|1082558|pir||S41161	623	62129.7
CONT_069|gi|2119239|pir||I39329	157	17732.6
CONT_070|gi|547752|sp|Q01546|K22O_HUMAN	638	65871.0
CONT_071|gi|181400	483	53689.5
CONT_072|gi|547754|sp|P35908|K22E_HUMAN	645	65865.5
CONT_073|gi|87303|pir||JS0487	482	53562.4
CONT_074|gi|1070608|pir||KRHU9	400	44092.4
CONT_075|gi|1346342|sp|P08779|K1CX_HUMAN	470	50699.5
CONT_076|gi|125083|sp|P05783|K1CR_HUMAN	430	48058.2
CONT_077|gi|106851|pir||S06889	424	47334.4
CONT_078|gi|34035	232	26450.4
CONT_079|gi|125105|sp|P13647|K2C5_HUMAN	590	62461.8
CONT_080|gi|71532|pir||KRHUEA	357	39219.1
CONT_081|gi|307083	279	30877.1
CONT_082|gi|125080|sp|P02533|K1CN_HUMAN	472	51663.0
CONT_083|gi|386849	563	59953.3
CONT_084|gi|386850	508	54512.1
CONT_085|gi|386851	489	53708.0
CONT_086|gi|307088	15	1748.0
CONT_087|gi|307090	15	1714.0
CONT_088|gi|1346343|sp|P04264|K2C1_HUMAN	644	66017.9
CONT_089|gi|71536|pir||KRHU2	493	52789.0
CONT_090|gi|134845|sp|P22531|SP22_HUMAN	72	7840.3
CONT_091|gi|540514|gnl|PID|d1006518	9	1139.3
CONT_092|gi|71528|pir||KRHU0	593	59528.0
CONT_093|gi|30313	279	30859.1
CONT_094|gi|547751|sp|Q04695|K1CQ_HUMAN	432	48106.1
CONT_095|gi|547750|sp|P35900|K1CT_HUMAN	424	48487.0
CONT_096|gi|2119209|pir||I37358	339	39294.8
CONT_097|gi|2119228|pir||I37942	144	13807.3
CONT_098|gi|125077|sp|P13646|K1CM_HUMAN	458	49644.7
CONT_099|gi|417200|sp|P08727|K1CS_HUMAN	400	44106.5
CONT_100|gi|34041	215	19989.6
CONT_101|gi|125081|sp|P19012|K1CO_HUMAN	456	49168.1
CONT_102|gi|88044|pir||S01068	408	45507.5
CONT_103|gi|2119212|pir||I37982	483	53704.6
CONT_104|gi|2119241|pir||I37983	123	14328.8
CONT_105|gi|547748|sp|P35527|K1CI_HUMAN	622	61987.6
CONT_106|gi|125115|sp|P02539|K2M1_SHEEP	109	12684.0
CONT_107|gi|125640|sp|P02448|KR62_SHEEP	61	6661.3
CONT_108|gi|125090|sp|P02534|K1M1_SHEEP	412	46674.9
CONT_109|gi|125116|sp|P15241|K2M2_SHEEP	491	53682.3
CONT_110|gi|125117|sp|P25691|K2M3_SHEEP	502	55255.7
CONT_111|gi|125624|sp|P02439|KR2B_SHEEP	156	16041.3
CONT_112|gi|125633|sp|P02443|KR3A_SHEEP	130	13895.3
CONT_113|gi|125644|sp|P02441|KRA3_SHEEP	131	14164.7
CONT_114|gi|125658|sp|P02446|KRB2_SHEEP	97	10289.9
CONT_115|gi|125661|sp|P02444|KRB3_SHEEP	98	10475.1
CONT_116|gi|125662|sp|P02445|KRB4_SHEEP	98	10473.2
CONT_117|gi|88047|pir||A24843	470	50630.4
CONT_118|gi|125098|sp|P12035|K2C3_HUMAN	629	64511.3
CONT_119|gi|547753|sp|P19013|K2C4_HUMAN	534	57265.6
CONT_120|gi|125108|sp|P08729|K2C7_HUMAN	469	51335.1
CONT_121|gi|547749|sp|P13645|K1CJ_HUMAN	593	59519.0
CONT_122|gi|88057|pir||A33652	473	50802.3
CONT_123|gi|125091|sp|P25690|K1M2_SHEEP	404	46063.3
CONT_124|gi|105815|pir||A34720	483	53748.6
CONT_125|gi|1362676|pir||A56791	18	1751.0
CONT_126|gi|2147315|pir||I51211	241	27681.7
CONT_127|gi|608991	6	507.6
CONT_128|gi|632732|bbs|152822	244	27699.3
CONT_129|gi|1346344|sp|P02538|K2CA_HUMAN	564	60045.2
CONT_130|gi|1346345|sp|P04259|K2CB_HUMAN	564	59999.2
CONT_131|gi|1346346|sp|P48666|K2CC_HUMAN	564	60200.4
CONT_132|gi|1346348|sp|P48668|K2CE_HUMAN	564	60223.5
CONT_133|gi|1346349|sp|P48669|K2CF_HUMAN	564	60067.2
CONT_134|gi|912799|bbs|161489	85	9314.6
CONT_135|gi|912801|bbs|161491	81	8245.3
CONT_136|gi|914307|bbs|163804	13	1610.7
CONT_137|gi|1346347|sp|P48667|K2CD_HUMAN	384	42468.9
CONT_138|gi|71531|pir||KRSHL1	412	46674.9
CONT_139|gi|71533|pir||KRHUEB	562	59822.1
CONT_140|gi|88045|pir||S05602	469	51365.1
CONT_141|gi|88049|pir||B24177	489	53807.1
CONT_142|gi|88053|pir||A29666	629	64448.3
CONT_143|gi|88054|pir||A22940	643	65494.0
CONT_144|gi|89882|pir||S05408	491	53682.3
